[08-Feb-2017 11:38:45 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:39:42 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:39:46 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:41:02 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:41:03 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:41:19 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:41:19 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:42:06 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:42:06 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:42:22 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:42:24 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:42:25 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:42:32 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:42:36 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:42:55 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:43:05 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:43:05 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:43:40 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:44:02 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:44:06 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:44:07 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:44:09 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:44:16 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:46:59 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:47:03 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:47:04 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:47:06 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:47:07 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:47:25 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:47:29 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:47:30 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 11:47:37 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:47:43 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:47:44 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:47:48 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:50:49 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:50:53 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:51:02 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:51:07 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:52:01 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:52:25 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:55:23 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:55:28 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:55:34 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 11:55:38 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:00:03 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:00:07 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:03:19 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:03:20 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:03:32 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:03:33 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:03:39 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:03:39 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:05:01 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:05:01 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:05:04 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:05:08 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:05:45 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:05:45 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:05:49 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:05:53 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:06:35 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:06:35 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:06:38 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:06:42 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:10:22 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:10:26 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:10:48 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:11:15 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:11:26 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:14:49 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:14:53 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:15:06 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:15:11 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:16:26 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:16:30 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:16:33 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:16:37 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:17:01 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:17:06 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:17:53 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:17:53 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
[08-Feb-2017 12:17:56 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:18:01 UTC] PHP Notice:  Undefined variable: str in C:\MAMP\htdocs\granitprom.com.ua\wp-content\plugins\buy-one-click-woocommerce\inc\core-class.php on line 164
[08-Feb-2017 12:18:13 UTC] PHP Notice:  Функция has_cap вызвана с аргументом, который <strong>считается устаревшим</strong> с версии 2.0.0! Использование уровней пользователей в плагинах и темах считается устаревшим. Используйте роли и возможности.. in C:\MAMP\htdocs\granitprom.com.ua\wp-includes\functions.php on line 4020
